trip_duration_min,is_peak_time,distance_km,neighborhood_type,base_rate_multiplier,trip_fare
17,No,4,Business,1.19,11.86
10,No,2,Residential,1.01,8.56
6,No,8,Rural,1.67,14.11
13,Yes,11,Business,1.07,16.64
13,No,6,Airport,0.96,12.68
13,No,8,Business,1.17,13.70
19,No,5,Business,1.27,12.75
11,Yes,5,Rural,1.34,13.93
12,No,8,Business,1.29,13.78
18,No,6,Residential,1.19,13.33
13,No,8,Business,,13.65
16,No,6,Rural,1.00,13.32
,Yes,5,Residential,1.37,14.96
13,Yes,7,Residential,1.06,14.07
14,Yes,6,Business,1.75,14.86
4,No,8,Business,0.93,11.58
17,Yes,11,Residential,1.06,17.24
16,No,3,Rural,1.20,10.56
19,No,10,Residential,1.03,16.02
11,No,3,Residential,1.26,9.52
10,No,7,Business,1.30,12.84
20,No,,Residential,1.22,11.52
11,No,1,Business,1.58,9.14
18,No,1,Residential,1.31,9.78
15,No,7,Airport,1.22,14.95
17,Yes,5,Airport,1.04,14.10
15,No,4,Business,0.91,10.88
18,Yes,3,Airport,1.25,13.61
22,No,7,,1.29,15.39
19,No,3,Business,0.94,10.68
4,No,3,Residential,1.11,9.04
17,No,1,Business,1.02,9.73
9,No,5,Residential,1.50,10.71
16,Yes,8,Airport,1.31,16.37
3,No,4,Airport,1.08,10.86
23,Yes,5,Rural,1.42,14.58
10,No,2,Airport,0.87,9.79
27,No,7,Business,1.12,15.91
17,,2,Airport,1.16,11.88
14,No,6,Rural,1.12,13.39
28,No,6,,1.33,14.74
,No,7,Business,1.04,14.87
21,No,4,Business,1.01,12.88
15,No,1,Rural,1.08,9.57
18,No,10,Rural,1.52,17.19
10,Yes,9,Residential,1.32,14.46
16,No,9,Airport,0.92,15.89
22,No,4,Business,1.27,12.70
,,2,Residential,1.58,9.33
10,No,6,Business,1.65,12.69
27,No,6,Business,1.57,15.26
27,No,4,Airport,1.14,14.74
17,No,3,,1.16,11.35
21,No,5,Business,1.02,13.19
16,Yes,7,Business,1.39,14.55
15,No,3,Rural,0.99,10.07
24,No,3,Airport,,13.50
9,No,3,Residential,1.15,9.70
18,No,4,Residential,1.30,12.43
15,No,5,Residential,1.32,11.55
16,No,9,Business,1.81,16.03
18,No,8,Residential,1.27,13.91
13,Yes,2,Business,1.29,10.82
19,Yes,5,Rural,0.99,13.88
9,Yes,3,Business,1.18,10.06
15,No,8,Business,0.98,14.08
,Yes,7,Business,,15.71
10,No,4,Residential,1.22,9.65
15,Yes,1,Business,1.28,10.31
10,No,7,Residential,0.96,12.28
19,No,7,Business,1.13,14.04
19,No,7,Business,1.20,14.68
19,No,4,Residential,1.34,11.68
20,Yes,7,Business,1.23,15.88
6,No,1,Rural,1.30,8.11
4,No,3,Residential,1.58,9.08
9,No,8,Rural,1.26,13.71
9,No,7,Residential,1.10,12.98
,Yes,1,Airport,1.35,10.74
15,No,9,Airport,1.53,16.81
13,No,5,Residential,1.18,11.75
,No,5,Rural,1.23,12.10
8,Yes,6,Residential,1.05,12.46
14,No,4,Airport,0.80,12.40
26,Yes,1,Residential,1.10,11.11
15,No,5,Rural,1.37,12.91
12,No,5,Business,1.25,11.42
10,No,4,Airport,1.04,11.99
23,No,5,Business,1.44,13.81
28,Yes,6,Business,1.11,14.84
11,Yes,,Residential,1.14,13.48
6,No,7,Business,1.45,12.42
10,Yes,5,Rural,1.23,13.03
8,Yes,2,Residential,1.54,10.11
23,No,4,Residential,1.12,12.64
14,No,7,Business,0.91,12.76
16,No,7,Residential,1.27,13.17
11,No,5,Rural,1.31,11.84
14,No,9,Rural,1.15,14.83
28,No,3,,1.07,12.86
14,Yes,3,Residential,1.23,10.61
17,No,5,Business,1.20,12.64
20,No,6,Business,1.32,14.44
26,No,2,Rural,1.09,11.16
,No,,Rural,1.23,10.92
25,Yes,2,,1.28,12.64
11,No,6,,1.07,12.15
16,No,11,Business,1.25,22.98
13,No,4,Residential,1.01,11.46
28,No,4,Airport,1.08,14.31
18,Yes,6,Business,1.22,14.28
16,No,2,Residential,1.48,10.00
21,No,6,Residential,1.05,12.79
11,No,3,Business,1.36,10.24
16,No,1,Business,1.11,9.32
5,Yes,3,Residential,0.95,9.42
11,Yes,6,Rural,1.14,12.91
8,No,5,Residential,1.06,11.10
10,No,5,Business,1.10,10.85
13,No,5,Business,1.15,11.80
21,No,3,Airport,1.15,12.17
16,Yes,9,Rural,1.46,17.00
23,No,1,Business,1.52,11.04
17,No,4,Rural,1.12,12.57
20,Yes,,Business,1.13,13.54
20,No,8,Rural,1.28,16.25
18,Yes,7,Rural,0.83,15.29
18,Yes,3,Business,1.47,11.28
17,No,4,Residential,0.85,10.26
3,No,4,Residential,1.33,8.99
12,No,2,,1.16,9.57
12,No,8,Airport,1.07,14.48
20,Yes,5,Rural,1.39,14.84
11,Yes,1,Residential,1.47,9.91
7,No,8,Business,1.15,12.79
19,No,2,Business,1.19,10.25
13,Yes,4,Residential,1.51,12.27
,Yes,3,Airport,1.24,12.36
15,No,3,Airport,1.28,11.33
17,Yes,2,Business,0.86,10.26
14,No,4,Rural,1.05,11.35
13,Yes,3,Rural,1.20,11.37
12,No,2,Business,1.15,9.07
11,Yes,3,Residential,1.24,11.20
8,Yes,,Airport,1.24,11.23
13,No,5,Business,1.25,12.36
11,,5,Rural,1.44,12.23
21,No,3,Rural,1.28,11.62
7,No,6,Business,1.14,11.39
10,No,3,Business,1.35,10.25
,Yes,5,Residential,1.27,12.72
15,No,4,Residential,1.34,11.67
6,Yes,,,0.99,9.89
11,No,7,Residential,1.44,13.33
18,No,6,Residential,1.00,12.79
12,No,12,Residential,1.48,21.31
20,No,6,Business,1.38,14.19
11,No,7,Rural,1.01,14.10
10,No,4,Residential,1.22,10.67
5,No,7,Rural,1.15,12.24
15,No,4,Residential,1.08,10.76
11,Yes,5,Business,1.36,12.87
17,No,7,Residential,1.25,13.82
11,Yes,2,Rural,0.91,10.66
3,No,18,Residential,1.14,22.12
10,No,5,Business,,10.59
15,No,4,Rural,0.82,11.36
14,No,1,Rural,,8.66
22,No,3,Rural,1.30,12.89
15,No,8,Residential,1.31,13.54
9,No,2,Business,0.98,9.32
17,Yes,5,Residential,1.58,13.55
7,Yes,4,Business,1.14,10.83
19,Yes,1,,1.31,11.15
15,No,1,Business,1.12,8.74
13,No,8,Business,0.80,12.82
16,No,6,Residential,1.41,12.27
18,Yes,5,,1.18,13.38
19,No,1,Rural,1.17,10.00
18,No,4,Business,1.09,10.93
16,No,8,Airport,0.95,15.31
18,Yes,4,Business,1.54,13.52
19,No,7,Residential,1.09,13.48
,No,3,Residential,1.05,11.10
28,No,7,Business,1.10,15.16
12,Yes,6,Residential,1.07,13.00
22,Yes,9,Rural,1.15,16.35
,Yes,6,Business,1.08,13.67
18,No,1,Residential,1.36,9.45
4,No,4,Airport,1.05,10.53
21,No,7,Rural,1.08,15.34
3,Yes,7,Business,1.13,12.40
,No,4,Business,1.23,11.06
15,No,1,Business,1.60,9.17
17,Yes,5,Business,1.15,12.93
18,Yes,7,Residential,1.28,15.04
15,Yes,3,Business,,11.47
7,No,5,Business,1.47,10.70
22,No,6,,1.14,12.76
3,No,,Residential,0.99,8.54
6,No,8,Business,0.93,12.51
15,Yes,8,Residential,1.24,14.39
18,No,1,Business,0.80,9.05
7,Yes,4,Airport,1.28,12.05
16,No,6,Rural,1.05,12.71
5,No,4,Residential,1.21,9.57
26,No,7,Residential,1.16,14.83
8,No,6,Business,1.21,11.50
8,No,6,Business,0.89,11.10
,,2,Residential,0.97,9.67
17,No,1,Business,1.38,9.45
13,Yes,4,Business,,11.50
6,No,2,Business,1.34,8.39
13,No,6,Business,1.18,11.94
20,No,5,Airport,1.39,14.02
16,No,7,Business,1.36,13.72
15,,7,Business,1.21,13.98
,No,2,Business,0.83,9.76
25,,,Residential,1.09,13.07
17,Yes,1,Rural,1.69,11.58
22,No,4,Rural,1.10,12.67
17,No,5,Residential,1.23,13.25
8,Yes,9,Business,1.35,14.97
5,No,5,Rural,1.13,11.38
25,No,1,Rural,0.85,11.12
25,No,1,Business,1.06,10.72
16,No,1,Business,1.53,10.25
20,No,3,Residential,1.10,10.94
4,No,5,Residential,1.38,11.55
14,No,5,Residential,1.03,11.41
9,No,4,Residential,1.06,9.74
16,No,1,,1.32,9.87
14,No,4,Airport,1.35,13.20
19,Yes,7,Business,1.37,14.89
14,Yes,6,Airport,1.40,15.58
3,No,7,Airport,1.13,13.21
20,No,,Airport,1.17,12.17
15,No,5,Business,,11.09
6,No,2,Residential,1.18,8.09
17,No,6,Residential,1.51,12.72
13,,6,Business,1.11,12.09
9,No,3,Residential,1.30,9.97
12,No,8,Residential,1.27,13.66
18,Yes,1,Airport,1.14,12.40
23,No,1,Business,1.21,10.35
21,No,6,Residential,0.80,13.17
11,No,4,Rural,1.03,10.89
21,No,4,Business,1.21,12.18
9,No,5,Business,0.84,10.95
,No,9,Residential,1.20,16.04
18,No,3,Residential,1.15,10.83
9,Yes,4,Business,1.42,11.59
21,Yes,6,Business,0.97,14.55
18,Yes,5,Residential,1.22,12.91
15,No,3,Business,1.34,10.80
17,No,8,,1.12,14.44
14,Yes,9,Residential,0.86,14.97
19,Yes,5,Rural,1.11,13.23
16,No,10,Business,1.06,15.59
10,No,2,Business,1.26,9.07
12,No,5,Business,1.19,11.84
12,No,2,,1.35,9.30
6,No,2,Residential,1.26,8.11
10,Yes,5,Residential,1.36,12.81
27,Yes,8,Residential,1.01,15.56
18,Yes,4,,1.02,13.66
15,No,1,Airport,1.33,10.61
7,No,2,Residential,1.19,8.49
12,No,2,Business,1.65,9.75
17,Yes,8,Residential,1.23,15.88
21,,3,Rural,1.26,10.98
23,No,6,Rural,1.03,13.54
3,Yes,6,Rural,1.02,12.46
15,No,3,Business,1.13,10.61
17,Yes,3,Residential,0.85,10.37
12,No,2,Residential,1.15,8.87
17,Yes,4,Business,0.80,12.25
21,Yes,5,Airport,1.16,15.54
23,Yes,7,Airport,0.90,16.21
9,Yes,1,Business,1.16,8.44
8,No,6,Residential,1.24,11.64
19,Yes,8,Rural,1.09,14.87
17,,4,,1.20,11.60
15,No,3,Rural,1.27,11.32
19,No,5,Residential,1.63,13.32
12,Yes,2,Residential,1.09,10.34
22,No,4,Business,0.91,12.85
23,No,4,Business,1.07,12.58
12,No,2,Business,1.15,9.18
24,Yes,4,Business,1.17,14.16
3,,6,Residential,1.37,10.78
17,No,3,Residential,1.00,9.08
8,No,4,Rural,1.17,10.11
16,No,19,Airport,1.20,28.07
12,No,3,Business,1.55,11.04
15,Yes,1,Residential,0.90,9.03
14,No,1,Airport,1.09,10.14
9,No,3,Business,1.32,8.93
9,No,5,Business,1.13,10.34
16,Yes,4,Residential,0.80,11.29
15,No,1,Residential,0.88,8.08
19,Yes,4,Business,1.53,12.65
8,Yes,2,,1.03,10.67
18,No,7,Business,1.34,14.21
24,Yes,3,Residential,1.22,12.13
16,No,1,Business,1.06,9.71
13,Yes,5,Business,1.56,13.44
11,No,3,Business,1.11,10.61
4,No,4,Business,1.08,10.04
6,No,4,Rural,0.99,9.95
10,No,6,Residential,0.96,10.83
16,Yes,7,Business,1.06,14.22
20,,,Business,1.31,14.16
12,Yes,5,Rural,1.27,13.59
20,No,6,Residential,1.22,13.17
3,No,6,Rural,1.01,10.34
14,,4,,1.07,11.11
14,,5,Business,1.12,12.18
18,,1,Business,1.39,10.48
9,,2,Business,1.15,9.60
8,No,8,Residential,1.11,11.98
11,Yes,5,Business,1.34,12.66
18,Yes,6,Rural,0.80,14.32
18,No,11,,0.96,17.19
11,No,4,Airport,1.18,12.00
15,No,8,Residential,1.24,14.38
26,No,2,,1.41,11.91
9,No,6,Residential,1.04,12.07
9,No,4,Business,1.13,9.86
18,Yes,4,Residential,1.35,12.41
21,No,3,Residential,1.45,11.99
25,No,2,Business,0.98,10.80
13,No,5,Residential,1.01,11.61
22,Yes,6,Business,1.35,15.50
15,No,6,Airport,1.28,13.63
25,No,6,Business,1.34,14.84
18,No,3,Business,1.61,11.72
15,Yes,7,Residential,1.26,14.40
19,No,4,Business,1.28,11.55
28,No,6,Residential,1.42,13.66
23,No,5,Business,1.62,14.06
20,No,5,Rural,1.27,13.49
11,No,1,Residential,1.10,8.23
23,No,2,Residential,,11.67
23,Yes,6,Residential,1.30,15.53
11,Yes,8,Business,0.95,14.41
3,Yes,1,Rural,1.17,8.73
14,No,5,Residential,1.34,12.15
17,No,8,Rural,,14.48
12,No,5,Business,1.13,11.62
22,No,6,Residential,1.12,13.59
24,No,1,Business,1.17,9.94
11,No,1,Business,1.49,8.84
16,No,4,Business,0.91,10.71
16,Yes,1,Residential,0.96,9.83
17,No,,Residential,1.25,14.27
8,No,1,Business,1.29,7.90
8,Yes,2,Business,1.22,9.13
16,No,4,Business,0.80,10.59
7,No,6,Business,1.46,11.90
17,No,9,Residential,1.58,15.43
10,No,5,Business,,11.27
8,Yes,5,Business,1.15,12.30
12,Yes,2,Business,1.11,10.19
15,No,7,Residential,1.23,12.74
16,No,9,Residential,1.31,14.97
14,Yes,9,Airport,1.18,17.09
13,Yes,7,Business,1.29,14.41
,No,3,Business,0.89,8.21
17,No,3,Business,,11.64
18,No,6,Rural,1.00,12.84
15,No,4,Rural,,12.06
10,No,1,Residential,1.48,8.57
20,No,7,Business,1.03,14.29
14,No,6,Airport,1.11,14.30
16,No,6,Business,1.40,13.09
10,No,5,Residential,1.20,11.10
,Yes,8,Business,1.18,15.12
7,Yes,5,Residential,1.14,11.74
21,No,5,Business,1.59,13.13
12,Yes,7,Residential,0.84,13.16
8,No,,Rural,1.30,10.87
14,No,9,Residential,0.96,14.14
11,No,8,Rural,0.91,13.16
17,No,4,Business,1.14,11.47
23,No,5,Rural,1.28,13.34
16,No,11,Business,1.08,16.66
18,No,4,Rural,1.01,12.11
4,Yes,7,Business,1.10,13.15
12,No,3,Business,1.11,9.77
10,Yes,9,Rural,1.11,15.52
19,No,3,Residential,1.57,11.10
10,Yes,3,Residential,1.51,10.26
6,No,11,Residential,0.95,13.91
15,No,5,Business,1.73,12.77
21,Yes,6,Residential,1.16,13.20
13,No,3,,1.32,10.04
4,Yes,6,Business,1.01,12.48
8,No,4,Rural,0.92,10.36
16,No,6,Residential,1.34,12.47
15,No,7,Rural,0.97,13.33
16,Yes,5,Business,1.35,14.26
3,Yes,6,Rural,1.21,12.29
17,No,2,Business,1.49,10.36
6,Yes,8,Business,1.37,14.00
,No,6,Rural,0.96,12.36
14,Yes,8,Rural,1.54,16.60
7,No,,Airport,1.10,12.99
23,No,5,Business,1.04,12.89
13,Yes,3,Residential,,10.74
15,Yes,3,Business,1.15,12.17
24,No,6,Rural,1.36,14.14
11,Yes,2,Residential,1.37,10.46
9,No,3,Rural,1.20,9.89
21,No,4,,1.44,12.44
9,No,3,Business,1.14,9.13
10,No,3,Rural,1.14,10.19
17,Yes,5,Residential,1.00,12.34
17,No,5,Business,1.07,11.40
10,Yes,9,Rural,1.09,15.49
15,No,1,,1.18,8.89
8,Yes,2,Residential,1.53,9.90
40,No,,Residential,1.29,12.67
9,No,5,Business,1.41,11.53
12,No,4,Residential,1.62,11.67
20,No,3,Business,1.18,10.42
4,Yes,5,Residential,1.48,11.74
13,Yes,3,Rural,1.26,12.43
23,No,6,Residential,1.42,14.92
23,Yes,4,Business,0.87,13.52
22,No,1,Business,1.63,11.72
28,No,,Residential,1.27,11.36
7,No,6,Business,1.14,11.71
19,No,1,Business,0.95,9.19
15,Yes,4,Residential,1.37,12.77
10,Yes,,Airport,1.25,12.90
20,No,5,Airport,1.14,14.08
,No,3,Airport,1.22,12.86
31,No,22,Residential,0.96,30.31
,No,5,Residential,0.98,10.02
10,Yes,1,Business,1.26,8.88
16,No,5,Rural,1.39,13.27
8,No,3,Airport,1.29,11.44
11,No,4,Business,,10.83
12,No,9,Rural,1.05,14.79
17,,3,Business,1.60,11.41
21,Yes,4,,1.31,13.86
17,Yes,4,Residential,0.82,12.42
12,No,6,Residential,1.12,12.49
20,Yes,,Business,1.12,15.60
11,Yes,1,Business,0.96,8.92
14,No,3,Rural,1.08,10.50
11,Yes,6,Business,1.32,12.76
15,No,5,Business,,12.19
14,No,6,Business,1.10,12.57
3,No,4,Business,1.21,9.39
13,No,11,Business,1.17,16.04
10,No,7,Rural,1.23,12.99
23,No,7,Business,1.23,14.59
9,Yes,5,Business,1.20,11.67
11,Yes,3,Business,1.32,10.68
21,No,5,Airport,1.00,13.99
7,No,7,Business,1.69,13.46
20,No,9,Business,1.36,16.65
15,,7,Rural,1.17,14.88
,No,5,Airport,1.01,11.44
15,Yes,1,Residential,1.03,9.09
25,No,,Residential,1.09,13.12
,No,5,Residential,1.17,10.87
14,No,4,Residential,1.45,10.33
,No,11,,1.54,18.48
12,No,3,,1.18,9.80
18,Yes,4,Residential,1.22,12.71
,Yes,8,Business,1.40,14.93
23,Yes,3,Residential,1.26,12.29
,No,4,Business,1.60,10.52
23,No,9,Business,1.21,15.70
15,No,1,Business,1.37,9.54
21,No,9,Business,1.39,16.73
21,No,7,Business,1.29,14.15
10,No,8,Business,1.29,13.74
11,Yes,5,Business,1.60,12.34
12,No,4,Residential,1.06,11.07
6,Yes,7,Business,1.17,12.38
11,Yes,4,Residential,1.00,11.65
8,Yes,,Residential,1.44,13.65
4,Yes,8,Residential,1.16,12.45
16,No,2,Residential,1.16,9.98
16,No,4,Rural,1.25,11.95
15,No,4,Business,1.50,11.63
21,No,5,Business,1.43,13.04
15,No,5,Residential,1.50,12.86
3,Yes,1,Residential,1.22,8.48
23,No,5,Residential,1.23,12.73
17,No,2,Rural,1.00,9.74
10,Yes,9,Residential,1.35,14.86
12,No,6,Business,1.32,12.46
9,No,4,Business,1.55,10.92
16,No,6,Residential,1.52,12.82
14,No,7,Airport,1.15,14.90
16,No,,Residential,0.94,12.78
3,No,1,,1.50,7.49
10,No,7,Business,1.43,13.25
12,,4,Residential,1.12,10.73
19,No,6,Residential,1.12,12.03
15,,4,Residential,1.32,11.95
21,No,8,Rural,0.80,14.93
16,No,11,Business,1.29,16.82
11,,4,Residential,1.27,10.59
17,Yes,5,Business,1.37,13.89
17,Yes,5,Airport,1.08,14.67
3,No,2,Residential,0.91,7.71
8,Yes,9,Residential,1.03,14.22
14,No,7,Business,1.15,13.25
14,No,6,Business,,12.57
11,Yes,6,,1.24,13.74
12,No,1,Residential,1.16,8.14
13,Yes,8,Rural,1.12,15.18
16,No,9,Rural,1.05,15.78
13,No,2,Rural,1.06,9.39
11,No,,Residential,1.06,10.43
12,No,8,Business,1.01,13.24
21,No,3,Business,0.93,10.45
5,Yes,7,Business,1.20,13.28
28,No,5,Business,1.26,14.51
13,No,5,Residential,0.89,10.81
19,No,7,Airport,1.40,16.02
14,No,4,Business,1.07,11.17
19,No,6,Rural,1.24,14.27
23,Yes,6,Residential,1.10,15.05
6,No,,Business,1.27,10.67
7,,9,Residential,1.23,13.61
8,No,5,Business,1.35,11.39
8,No,2,Residential,1.37,8.51
6,No,4,Rural,1.22,10.13
12,No,6,Business,1.28,12.21
11,Yes,5,Business,1.42,12.82
22,Yes,8,Rural,1.37,16.87
8,No,5,Business,1.21,11.28
26,No,2,Airport,0.96,12.66
14,No,1,Residential,1.09,8.87
14,No,,Rural,1.16,12.19
,Yes,5,Rural,1.19,14.39
14,,6,Business,1.04,12.60
10,No,7,Business,1.09,12.74
29,Yes,6,Rural,1.51,16.18
15,No,1,Airport,1.13,9.94
16,Yes,4,Business,1.37,13.04
3,No,6,Airport,,12.93
3,No,5,Residential,1.12,10.02
11,No,,Business,1.01,13.01
16,No,4,Business,,11.81
13,No,7,Rural,1.36,13.58
8,No,3,Residential,1.50,9.80
16,Yes,6,Rural,1.13,13.99
26,Yes,3,Business,1.43,13.35
13,No,1,Rural,1.18,9.18
11,Yes,9,Business,1.28,15.21
10,Yes,1,Business,1.06,9.32
5,No,6,Rural,0.99,11.09
17,No,,Business,1.20,10.70
18,No,7,Residential,1.12,14.25
10,No,4,Residential,1.05,10.90
26,No,4,Business,1.50,13.22
19,Yes,7,Business,1.30,14.56
31,No,4,Business,1.11,13.71
17,Yes,6,Rural,1.31,15.08
8,No,10,Business,1.68,15.02
8,Yes,12,Rural,1.19,22.16
18,No,1,Business,1.13,9.15
11,No,9,Rural,0.91,14.36
13,Yes,3,Residential,1.46,11.59
16,Yes,6,Business,1.24,15.07
14,Yes,3,Rural,1.08,12.26
19,Yes,,Residential,1.10,13.07
10,No,8,Airport,1.05,14.69
17,Yes,5,Rural,1.70,14.95
10,No,1,Airport,1.57,10.18
15,Yes,4,Residential,1.42,12.44
3,No,2,Business,1.26,8.26
12,Yes,9,Residential,1.37,14.58
5,Yes,4,Residential,1.06,10.53
10,No,7,Residential,1.27,17.92
18,Yes,4,Residential,1.11,12.66
17,,8,Residential,1.14,15.77
12,Yes,4,Business,1.45,11.25
15,No,7,Residential,1.18,12.75
17,,5,Business,1.29,11.65
12,,1,Business,1.22,9.48
17,,4,Residential,1.13,11.49
13,No,4,Business,1.04,10.70
8,No,7,Business,1.28,12.35
21,No,4,Business,1.40,12.50
9,No,9,Business,1.11,13.99
3,No,6,Business,1.04,10.62
14,Yes,6,Airport,1.32,14.82
20,No,,Business,0.89,13.33
30,No,5,Business,1.26,13.92
6,Yes,1,Business,1.60,9.52
11,No,3,Business,0.80,10.27
,No,3,Residential,0.99,10.09
18,No,,Residential,1.18,12.64
8,No,2,Residential,1.33,8.81
21,Yes,5,Residential,1.31,13.84
10,No,,Business,1.02,12.68
12,No,3,Residential,1.38,10.75
17,Yes,2,Rural,1.02,11.17
21,No,3,Business,1.21,11.01
28,No,5,Residential,,14.03
10,No,5,Residential,1.14,11.20
14,No,8,Residential,1.31,14.07
10,No,4,Residential,1.08,10.53
17,Yes,4,Rural,,12.67
10,No,2,Business,1.30,9.57
10,No,5,Business,1.21,11.40
16,Yes,2,Rural,1.06,11.18
11,No,2,Residential,1.42,9.19
16,No,3,Business,1.33,10.95
12,No,5,Airport,,11.95
15,Yes,1,Airport,0.89,10.85
19,No,6,Residential,1.33,13.26
11,No,5,Rural,1.52,12.37
10,No,3,Residential,1.24,9.89
13,Yes,5,Residential,1.57,13.71
17,No,1,Residential,1.05,8.43
7,Yes,6,Residential,1.04,12.10
15,Yes,3,Business,1.13,11.15
13,No,1,Business,1.08,8.39
6,No,1,Rural,1.18,8.57
21,No,5,Business,1.09,13.64
,No,5,Residential,1.56,13.35
19,Yes,4,Airport,1.12,13.96
26,Yes,4,Airport,1.05,15.05
17,No,2,Rural,1.17,10.11
18,No,6,Business,0.86,13.05
5,,10,Rural,1.03,15.83
20,No,1,Business,1.03,9.94
11,No,8,Business,1.45,14.65
,No,5,,1.14,14.30
20,,6,Airport,1.37,15.74
3,No,7,Business,1.25,11.72
14,No,8,Airport,1.40,15.26
18,No,5,Residential,1.02,11.89
16,No,7,Residential,1.38,13.79
24,No,4,Business,1.35,12.53
13,No,7,Airport,1.29,14.90
16,No,3,Airport,1.36,12.01
3,No,5,Residential,1.29,10.18
23,No,6,Residential,1.42,14.07
17,No,4,Business,1.24,11.55
11,No,4,Rural,1.59,11.85
12,,13,Rural,,18.24
16,Yes,,Residential,1.18,11.97
20,Yes,5,Business,1.23,13.78
22,Yes,5,Business,1.61,14.02
21,Yes,3,Business,1.36,13.09
13,Yes,3,Residential,0.87,10.24
11,Yes,4,Business,1.22,12.15
24,,7,Rural,1.09,16.81
18,No,5,Business,1.38,12.39
15,Yes,4,Business,1.16,11.83
19,No,7,Residential,1.27,14.10
24,No,4,Business,1.32,12.50
3,No,4,Business,1.35,9.81
20,No,3,Business,1.36,11.52
16,No,4,Residential,1.21,11.50
14,Yes,4,Rural,1.31,12.87
18,No,1,Business,1.13,9.80
,Yes,10,Rural,1.11,16.06
28,No,2,Rural,1.03,11.54
16,No,7,Rural,1.20,13.88
16,No,2,Residential,1.24,9.76
17,No,5,Business,1.35,12.48
4,No,3,Business,1.45,10.25
14,Yes,5,Business,1.22,13.01
14,No,5,Business,1.11,11.79
10,No,4,Residential,1.24,10.41
13,Yes,5,Rural,1.30,13.77
10,No,7,Rural,1.11,12.92
9,,4,Rural,1.09,10.58
25,No,5,Rural,0.80,13.69
19,Yes,4,Residential,1.33,13.05
3,Yes,4,Business,1.06,10.20
12,Yes,8,Rural,0.86,14.92
3,Yes,7,Rural,1.22,13.08
13,No,6,Business,0.80,11.99
4,No,6,Residential,0.89,10.00
27,No,5,Residential,1.07,13.26
7,No,6,Business,0.96,11.05
11,No,4,Residential,1.42,11.19
23,Yes,3,Residential,1.19,12.41
14,No,4,Business,1.31,11.29
12,No,7,Airport,1.41,14.20
9,Yes,10,Rural,1.13,16.48
21,,8,Business,0.80,15.93
12,No,5,Business,1.73,13.27
12,Yes,8,Business,1.24,13.55
16,No,6,Residential,,12.88
17,Yes,10,Airport,0.98,18.81
21,No,7,Residential,1.08,14.24
15,No,5,Rural,1.42,12.45
22,No,8,Airport,1.34,16.76
23,Yes,8,Airport,1.10,17.30
6,Yes,11,Business,1.53,16.53
17,Yes,6,Airport,1.13,15.06
25,No,5,Residential,1.51,13.97
4,No,4,Residential,1.28,8.76
16,No,5,Residential,,11.85
7,No,6,Business,,11.65
20,No,2,Residential,1.39,10.19
12,No,2,Business,1.09,9.71
19,No,,Rural,1.40,11.27
8,No,2,Business,,8.13
20,No,5,Business,0.89,11.99
12,No,7,Airport,,13.91
22,No,1,Business,1.38,10.39
20,No,7,Residential,0.99,14.56
16,No,4,Business,1.19,11.46
12,,4,Residential,1.46,10.19
16,No,11,Rural,1.52,18.33
11,No,8,Rural,0.80,14.32
11,No,6,Rural,1.00,12.60
10,Yes,6,Business,,13.09
22,No,8,Business,0.88,14.47
18,No,4,Business,1.27,11.69
,No,2,,1.19,8.43
16,Yes,3,Residential,1.25,11.77
17,No,5,Residential,1.07,11.59
8,No,3,Business,1.37,10.42
22,No,13,Business,1.37,26.49
18,No,7,Rural,1.13,13.83
22,No,9,Business,1.11,15.79
19,No,6,Business,1.27,12.86
11,Yes,1,Rural,1.26,9.91
11,No,1,,1.29,9.10
11,No,4,Residential,1.06,10.80
20,No,4,Business,1.45,12.12
17,Yes,2,Residential,1.26,10.99
16,No,5,Business,1.37,13.12
11,Yes,3,Business,0.90,9.88
13,Yes,,Rural,1.08,10.31
10,No,8,Airport,0.98,14.26
8,Yes,4,Business,1.21,11.11
15,No,8,Residential,1.11,14.02
13,Yes,4,Residential,1.16,11.56
11,,,Residential,0.81,11.50
13,No,,Business,1.25,11.94
17,Yes,5,Rural,1.05,13.83
11,Yes,5,Rural,,12.78
17,No,4,Residential,0.88,10.18
9,No,5,Residential,1.03,10.70
18,Yes,6,Business,1.19,13.91
18,No,6,Business,1.13,13.55
20,No,6,Rural,1.44,13.73
19,Yes,6,Residential,1.41,13.94
15,No,5,Rural,1.29,12.56
19,,1,Residential,1.33,10.06
14,Yes,4,Business,1.35,12.41
14,No,10,Business,1.11,15.33
,Yes,6,Business,1.58,14.47
7,No,8,Airport,1.09,13.97
10,,6,Rural,1.18,12.05
17,No,8,Residential,1.28,15.27
19,No,1,Residential,1.37,9.55
13,No,4,Residential,1.15,9.91
,No,9,Business,1.25,14.65
20,No,8,Airport,1.34,16.57
26,Yes,3,Residential,1.32,12.72
19,Yes,7,Residential,1.39,15.58
9,No,7,Rural,0.94,12.54
14,Yes,2,Airport,1.50,12.40
14,No,4,Business,1.56,10.85
28,Yes,2,Rural,1.39,13.41
20,Yes,3,Airport,1.32,13.04
14,No,2,Business,0.94,9.75
18,No,3,Residential,1.08,10.17
16,No,6,Residential,1.04,13.31
10,,7,Business,1.00,12.29
7,Yes,6,Business,0.95,11.71
16,No,8,Business,1.01,14.70
18,Yes,8,Rural,1.17,16.20
11,No,2,,1.37,9.93
