area_sqft,has_elevator,bedrooms,Location,building_age,monthly_rent
284,Yes,2,Uptown,19,1374
1394,No,2,Suburb,10,2113
727,Yes,2,Downtown,10,1895
1283,Yes,2,Suburb,7,2035
1732,No,3,Suburb,30,2306
715,No,1,Uptown,17,1219
1305,,2,Downtown,27,2272
952,Yes,2,,31,1966
1651,Yes,3,Old Town,7,2328
1297,No,3,Old Town,35,1882
1058,Yes,2,Uptown,26,2074
1089,No,1,Suburb,25,1316
,Yes,3,Downtown,25,2748
1978,Yes,2,Old Town,27,2514
1319,Yes,2,Old Town,19,1807
1426,,3,Old Town,8,2307
1635,Yes,4,Uptown,19,2862
1123,No,3,Uptown,4,2253
756,No,3,Old Town,9,1365
1250,No,2,Uptown,8,1940
1611,No,1,Uptown,13,1974
1167,Yes,3,Uptown,14,2084
731,Yes,,Suburb,1,1521
1505,Yes,2,Downtown,11,2576
1999,Yes,4,Suburb,18,3069
1227,No,1,Uptown,4,1879
838,No,3,Uptown,13,1792
1675,No,2,Suburb,21,2349
,Yes,2,Old Town,1,2309
1465,Yes,2,Downtown,13,2629
1310,No,3,Uptown,19,2247
1283,No,5,Old Town,27,2128
1900,Yes,3,Old Town,32,2560
1530,No,3,Downtown,23,2626
1175,No,2,Uptown,34,1846
1387,Yes,1,Old Town,37,1594
1128,Yes,2,Downtown,22,2114
1110,No,4,Suburb,12,2157
1099,No,2,Suburb,16,1860
1521,Yes,3,Uptown,18,2395
1112,No,3,Old Town,24,1608
1184,No,3,Uptown,3,2217
1302,No,2,Suburb,15,1908
1555,Yes,3,Downtown,21,2661
1770,No,,Downtown,21,2442
922,No,3,Suburb,18,1889
1447,No,5,Downtown,8,2863
1469,No,3,,18,1831
1282,Yes,2,Suburb,10,1954
430,Yes,2,Downtown,8,1684
1190,Yes,3,Suburb,34,1916
1291,No,1,Suburb,1,1801
1786,No,4,Suburb,19,2761
1752,No,3,Downtown,25,2773
1494,No,3,Suburb,27,2421
2285,No,2,Suburb,,2817
1452,Yes,3,Downtown,17,2651
989,No,2,Suburb,28,1471
1632,Yes,2,Uptown,18,2314
1144,Yes,,Suburb,29,1521
1396,No,1,Old Town,29,1511
790,No,4,Uptown,16,2064
963,No,2,Downtown,29,1841
539,No,3,Suburb,6,1485
1210,Yes,3,Downtown,26,2541
908,Yes,3,Downtown,1,2438
2230,No,3,,28,3182
1759,No,4,Suburb,40,2585
1000,No,3,Downtown,20,2148
864,No,2,Downtown,20,1733
892,No,4,Suburb,33,1725
,Yes,1,Uptown,17,1565
781,Yes,3,Downtown,0,2344
1170,Yes,3,Uptown,,2206
907,No,3,Old Town,10,1667
733,Yes,1,Downtown,17,1519
1768,Yes,3,Old Town,8,2615
,No,2,Suburb,32,1454
945,No,2,Old Town,22,1369
1941,Yes,4,Old Town,15,2802
2039,Yes,4,Downtown,23,3232
1608,No,3,Old Town,17,2414
1304,No,3,Suburb,32,1991
883,Yes,2,Old Town,23,1014
1675,No,2,Old Town,31,2019
,No,3,Suburb,13,1701
555,No,1,Downtown,20,1249
1010,,4,Suburb,28,1905
702,Yes,4,Downtown,20,2282
837,Yes,4,Downtown,0,2426
1830,Yes,3,Suburb,16,2558
1858,Yes,2,Old Town,9,2351
886,Yes,2,Uptown,,1545
901,Yes,4,Suburb,24,1986
812,Yes,3,Downtown,27,1935
1990,Yes,3,Suburb,11,2855
1899,No,4,Downtown,10,3083
907,No,5,Downtown,6,2608
1695,Yes,2,Suburb,15,2219
2634,No,7,Suburb,17,3685
1390,No,1,Uptown,27,1698
1483,,2,Suburb,16,2217
1104,No,1,Uptown,9,1833
1065,Yes,3,Old Town,27,1796
1945,No,4,Suburb,9,3044
2412,Yes,5,Old Town,29,2521
,No,1,Downtown,42,1664
2048,No,2,Downtown,14,2894
1442,Yes,,Uptown,0,2332
1246,No,1,Old Town,20,1340
1029,No,3,Old Town,22,1674
884,No,3,Uptown,18,1902
1331,No,2,Old Town,26,1640
927,No,3,Suburb,18,1683
1076,No,3,Uptown,9,2386
397,No,4,Uptown,10,1591
1406,Yes,3,Suburb,14,2159
848,Yes,1,Downtown,16,1850
2092,No,3,Uptown,14,3106
853,No,1,Old Town,17,1416
1053,No,3,Suburb,8,1974
1185,No,4,Downtown,34,2463
1037,No,3,Suburb,14,1974
407,No,3,Suburb,9,1732
1242,Yes,1,Uptown,20,1930
1432,Yes,4,Uptown,13,2584
1074,Yes,1,Suburb,15,1737
1105,No,4,Suburb,20,2225
,No,5,Old Town,19,2085
845,No,2,,7,1352
935,Yes,2,Downtown,24,1851
1898,No,2,Uptown,17,2553
1423,No,4,Downtown,13,2665
1590,No,1,Old Town,32,1691
980,No,2,Uptown,23,1555
1643,No,3,Downtown,9,2504
1739,No,4,Uptown,13,3136
1047,,2,Suburb,13,1646
2373,No,3,Downtown,26,3324
797,Yes,3,Suburb,12,1853
692,Yes,4,Suburb,13,1812
851,Yes,3,Uptown,8,2037
1006,No,2,,25,1529
,No,6,Downtown,16,3253
905,Yes,4,,9,2345
328,Yes,1,Suburb,0,1037
960,Yes,,Old Town,15,1571
1067,No,3,Old Town,11,1912
1386,No,2,Downtown,15,2103
250,No,2,Downtown,28,1380
1060,Yes,4,Downtown,31,2476
1183,Yes,4,Downtown,9,2585
1229,No,2,Suburb,9,2000
1530,Yes,2,Uptown,18,2376
783,No,1,Old Town,24,593
1142,No,3,Downtown,,2139
1241,Yes,1,Uptown,33,1539
1076,No,1,Downtown,19,1813
1387,No,1,Downtown,17,2158
781,Yes,4,Uptown,13,1974
1418,No,3,Downtown,10,2701
,No,3,Uptown,22,2080
1549,Yes,1,,37,1734
1721,Yes,4,Downtown,19,3023
,Yes,3,Suburb,36,2410
614,Yes,1,Downtown,29,1525
910,Yes,2,Suburb,0,1658
1306,Yes,4,Uptown,24,2600
1047,No,2,Uptown,0,2182
920,No,3,Old Town,25,1688
1587,Yes,3,Downtown,13,2753
717,No,2,Suburb,19,1452
468,No,3,Uptown,11,1542
766,No,3,Old Town,23,1514
1358,Yes,2,Suburb,38,1840
1854,Yes,2,Suburb,40,2223
,No,2,Old Town,11,2552
1085,No,1,Uptown,17,1667
768,Yes,3,Suburb,27,1681
1212,Yes,2,Downtown,20,2257
1270,Yes,3,Old Town,14,2089
433,No,3,Downtown,27,1321
372,No,3,Downtown,14,1561
619,Yes,5,Suburb,22,2029
,No,1,Downtown,24,2565
1085,Yes,2,Old Town,20,1601
955,No,,Uptown,11,1656
1426,No,3,,18,2434
1684,Yes,,Uptown,24,2446
863,No,2,Old Town,16,1190
1260,No,1,Downtown,21,1919
,No,2,Downtown,24,2207
1591,No,1,Downtown,,2455
1196,No,3,Old Town,17,1651
543,No,1,Suburb,11,784
1188,Yes,3,Uptown,,2135
1356,No,4,Suburb,15,2270
1141,No,4,Suburb,8,2158
898,No,3,Uptown,5,1732
607,No,2,Downtown,21,1804
1703,No,3,Downtown,6,3165
1524,No,4,Uptown,,2634
1215,No,2,Uptown,13,2114
737,No,1,Suburb,,1597
1510,No,1,Uptown,,1968
946,No,2,Downtown,17,1938
410,No,2,Suburb,20,957
1607,No,4,Old Town,9,2474
279,Yes,3,,29,1622
1091,No,2,Downtown,,2102
1546,Yes,4,Suburb,0,2870
1268,Yes,2,Uptown,15,2278
1514,Yes,3,Uptown,24,2730
1683,Yes,2,Uptown,11,2604
769,Yes,4,Uptown,5,2156
1199,No,2,Uptown,16,1984
1172,No,2,Downtown,36,1996
1153,Yes,1,Old Town,31,1149
1499,Yes,2,Suburb,30,2021
1486,Yes,,Suburb,,2008
1649,Yes,3,Downtown,16,2845
751,Yes,2,Suburb,13,1598
1337,Yes,1,Uptown,20,1850
712,No,3,Downtown,25,2045
1387,Yes,2,Old Town,7,1849
1930,Yes,2,Downtown,16,2742
1876,No,5,Suburb,31,2825
613,Yes,2,Suburb,24,1013
696,No,3,Uptown,27,1836
1391,No,1,Uptown,0,2106
942,,3,Suburb,20,1794
1763,Yes,3,Uptown,19,2806
1538,Yes,1,Old Town,7,1778
1425,No,1,Uptown,22,1961
724,No,4,Old Town,29,1618
1554,Yes,2,Uptown,15,2515
1460,Yes,3,Uptown,23,2593
1172,No,4,Suburb,14,2232
,Yes,4,Uptown,21,1788
1869,No,2,Suburb,1,2793
684,No,2,,11,1966
527,No,2,Downtown,11,1565
1416,Yes,2,Uptown,16,2420
1660,No,2,Downtown,9,2618
866,Yes,2,Downtown,25,1742
772,No,4,Suburb,29,1900
1345,Yes,2,Uptown,22,2171
2050,No,1,Uptown,21,2480
1974,No,2,Old Town,19,2311
1615,No,1,Downtown,29,2138
1336,No,3,Suburb,7,2411
1101,Yes,2,Downtown,0,2369
1084,Yes,5,Downtown,7,2890
1060,No,3,Downtown,13,2445
1279,No,1,Uptown,19,1652
991,No,1,Old Town,25,1178
1075,No,2,Downtown,16,2022
919,No,3,Downtown,11,1920
1120,Yes,3,,,2308
1156,Yes,3,Old Town,26,1751
1308,No,,,16,2177
1444,No,2,Suburb,13,2194
2520,Yes,,Old Town,27,3102
1757,No,,Downtown,36,2589
1712,,3,Old Town,20,2375
1793,Yes,3,Downtown,11,2963
1425,,2,Downtown,11,2130
482,Yes,2,Uptown,33,1412
,Yes,3,Old Town,25,1960
1057,Yes,2,Downtown,22,2121
955,Yes,3,Downtown,23,2123
525,No,2,Downtown,14,1371
571,Yes,2,Downtown,25,1488
1112,,3,Downtown,,2065
1328,,3,Downtown,20,2579
1212,Yes,2,Old Town,14,1708
1008,No,1,Downtown,16,1559
1426,Yes,4,Uptown,18,2712
1521,Yes,4,Suburb,27,2433
1443,Yes,1,Old Town,26,1294
1463,No,3,Downtown,20,2647
,,3,Downtown,21,2748
391,Yes,4,Downtown,19,1879
1368,Yes,4,Downtown,0,3071
943,No,3,Suburb,12,1793
2026,Yes,2,Uptown,16,2970
,Yes,1,Downtown,19,2235
1330,No,3,Uptown,1,2358
1111,No,1,Old Town,28,1149
250,Yes,1,Suburb,9,952
682,No,5,Suburb,23,2188
985,No,2,Downtown,15,1844
1367,No,3,Downtown,22,2416
1025,No,3,Suburb,4,2226
1863,No,,Uptown,13,2813
935,Yes,1,Suburb,30,1208
2242,Yes,4,Suburb,13,3119
645,Yes,2,Uptown,5,1925
1521,Yes,3,Downtown,20,2576
1150,No,2,Downtown,17,2057
1058,No,2,Suburb,13,1462
1170,No,2,Uptown,25,1835
839,No,2,Uptown,12,1546
1320,Yes,2,Old Town,11,1757
859,Yes,4,Suburb,24,1716
1298,,2,Suburb,12,2017
,No,3,Downtown,11,2330
1265,No,2,Uptown,44,1794
967,Yes,3,Suburb,26,1892
1824,No,2,Uptown,34,2513
418,No,2,Suburb,18,986
1411,Yes,1,Uptown,12,1981
1971,No,3,Uptown,7,3013
1695,,2,Downtown,16,2838
702,No,3,Uptown,0,1827
878,Yes,1,Suburb,0,1600
1153,Yes,2,Downtown,14,2106
683,No,,Uptown,15,1147
884,Yes,1,Downtown,15,1754
535,Yes,,Uptown,23,1496
1503,No,4,Uptown,12,2449
1684,No,,Uptown,23,2473
891,,4,,18,1755
1043,No,3,Downtown,15,2352
763,,3,Downtown,7,2030
1452,No,2,Uptown,37,2066
875,No,2,Old Town,33,1471
772,Yes,2,Uptown,15,1834
1525,Yes,4,Downtown,28,2756
1735,Yes,2,Downtown,23,2617
1251,No,4,Old Town,27,1727
445,Yes,1,Old Town,,878
1701,Yes,4,Suburb,30,2937
476,No,2,Suburb,5,1328
633,No,2,Suburb,0,1598
1023,Yes,3,Downtown,16,2250
1323,No,1,Downtown,12,1995
999,Yes,2,Uptown,24,1995
1784,No,2,Downtown,3,2847
1311,Yes,4,Uptown,20,2519
1219,Yes,2,Uptown,12,2181
,No,4,,32,1661
,Yes,3,Old Town,4,2519
1132,No,2,Downtown,31,1793
741,No,3,Old Town,29,1285
908,Yes,3,Downtown,17,2141
1820,No,1,Downtown,23,2482
1312,No,2,Suburb,25,1754
1104,Yes,3,Suburb,17,1801
952,No,4,Old Town,26,1937
1421,No,,Uptown,14,2686
562,Yes,2,Downtown,26,1593
1266,No,,Suburb,14,2324
979,Yes,4,Old Town,16,2039
565,No,2,Uptown,25,1497
1042,Yes,2,Uptown,7,1913
540,Yes,2,Suburb,30,1172
932,No,3,Uptown,16,1908
250,No,3,Uptown,23,1274
,No,2,Old Town,18,1171
651,Yes,3,Downtown,23,1911
2331,No,4,Suburb,14,2518
1115,No,,Old Town,22,1287
1313,Yes,3,Uptown,14,2544
,No,1,Old Town,42,1608
1750,Yes,2,Suburb,11,2213
1029,No,,Uptown,26,2233
1198,Yes,3,Uptown,9,2234
743,No,3,Suburb,8,1528
1116,Yes,2,Downtown,24,1925
1810,Yes,5,Old Town,0,3218
784,No,4,Suburb,7,2085
2080,Yes,2,Suburb,9,2893
304,,1,,23,1165
1274,Yes,2,Old Town,15,1757
815,Yes,5,Old Town,3,2385
250,Yes,3,Suburb,16,1117
1618,No,1,Downtown,16,2220
1234,No,3,Old Town,21,1889
1390,No,2,Downtown,2,2254
854,Yes,1,Downtown,17,1567
1551,No,1,,19,1795
997,No,2,Downtown,21,1759
1629,,2,Old Town,23,1888
977,Yes,4,Downtown,21,2256
,No,2,Downtown,27,2631
,Yes,3,Suburb,29,2192
1883,Yes,1,,6,2423
1384,Yes,2,Uptown,20,2275
1708,No,3,Downtown,24,2830
1350,Yes,2,Uptown,14,2353
1604,Yes,,Downtown,14,2922
1242,Yes,2,Suburb,39,1680
1239,No,3,Uptown,16,2361
,No,4,Suburb,28,2787
1240,No,1,Suburb,,1170
498,No,2,Downtown,30,1733
1376,Yes,4,Suburb,31,2439
1806,No,1,Uptown,20,2106
1232,Yes,2,Downtown,19,2155
1192,Yes,4,Old Town,17,2299
973,Yes,3,Downtown,20,1937
939,Yes,2,Downtown,18,2173
818,Yes,1,Suburb,17,1346
1104,No,,Uptown,5,2272
581,Yes,4,Old Town,24,1422
315,,,Uptown,12,1497
1164,No,2,Uptown,20,1798
1559,Yes,2,Downtown,14,2662
495,Yes,2,Old Town,8,979
2203,No,2,Uptown,11,2943
1604,No,1,Suburb,27,1893
1302,No,2,Uptown,5,2404
1909,No,3,Downtown,17,3055
1015,Yes,3,Downtown,23,2071
1216,No,2,Uptown,14,1981
485,No,2,Old Town,13,799
1251,Yes,,,,2364
1466,No,3,Downtown,12,2487
1079,No,2,Downtown,6,2169
1098,No,2,Suburb,17,1706
676,Yes,1,Uptown,1,1455
1884,Yes,3,Uptown,17,3009
385,No,4,Downtown,26,1924
1969,No,2,Downtown,18,2674
845,Yes,3,Uptown,22,1956
442,No,4,Downtown,18,1971
1102,Yes,2,Downtown,15,2097
1114,No,3,Downtown,,2160
,No,2,Uptown,,1913
901,Yes,3,Suburb,24,1838
1903,No,2,,23,2108
1494,No,3,Downtown,30,2471
1234,No,3,Downtown,27,2193
,Yes,3,Suburb,13,2075
2351,Yes,3,Uptown,12,3723
1065,Yes,1,Suburb,23,1418
1153,Yes,,Downtown,21,2258
1020,Yes,2,Downtown,27,2290
1733,Yes,3,Suburb,18,2431
1237,Yes,2,Uptown,22,2140
794,Yes,2,Downtown,29,1659
1427,No,4,Suburb,7,2712
1497,No,3,Uptown,15,2582
912,No,1,Suburb,28,1141
1453,Yes,3,Downtown,18,2727
2168,,3,Old Town,20,2617
,No,2,,13,2690
1732,Yes,3,Suburb,22,2627
1272,No,2,Old Town,18,1642
1248,Yes,,Downtown,14,2640
1716,Yes,2,Suburb,24,2447
409,Yes,1,Uptown,12,1292
1128,Yes,4,Downtown,23,2584
872,Yes,2,Uptown,22,1850
916,Yes,2,Downtown,21,2119
1367,Yes,3,Downtown,26,2456
1450,No,2,Suburb,38,1991
835,No,3,Downtown,,1847
447,Yes,2,Downtown,11,1563
1690,Yes,,Old Town,15,2441
1328,No,3,Suburb,,2371
1108,No,3,Uptown,6,1969
764,No,1,Old Town,10,1111
1350,No,3,Downtown,32,2376
828,Yes,,Old Town,10,1444
965,Yes,3,Uptown,25,1965
1597,Yes,1,Suburb,13,2023
1457,No,3,Old Town,19,2160
1404,Yes,,Downtown,14,2524
1660,No,3,Suburb,13,2391
701,Yes,4,Downtown,16,1962
1609,No,1,Old Town,30,1566
1607,Yes,2,Old Town,17,1972
1735,No,2,Uptown,17,2355
1371,,1,Suburb,21,1569
1237,No,3,Uptown,32,1990
,No,1,Uptown,16,2202
1708,No,4,Uptown,13,2985
1219,No,2,Suburb,13,1486
1610,Yes,4,Downtown,21,2896
250,Yes,2,Old Town,9,806
425,,4,Downtown,8,1873
1657,No,2,Uptown,14,2428
1357,No,2,Uptown,20,1949
1397,No,4,Downtown,9,2973
1000,Yes,3,Downtown,28,2353
428,No,2,Suburb,24,1290
1742,Yes,1,Old Town,20,1844
1525,Yes,2,Downtown,26,2177
1766,Yes,3,Suburb,19,2690
270,No,2,Downtown,33,1149
1669,No,2,Suburb,,2106
1631,Yes,2,Uptown,2,2587
1458,Yes,3,Downtown,6,2690
1239,No,4,Old Town,20,2120
912,No,2,Suburb,25,1346
1455,No,2,Downtown,27,1999
1006,Yes,4,Downtown,34,2097
1522,No,1,Downtown,13,2274
996,No,2,Uptown,20,1819
1087,Yes,3,Old Town,0,1680
818,No,4,Old Town,9,1622
1190,No,1,Downtown,,1836
1217,,2,Uptown,15,2263
1766,No,1,Old Town,18,1979
1258,,4,Suburb,12,2362
250,Yes,3,Downtown,13,1688
2325,Yes,2,Old Town,15,2776
938,Yes,2,Suburb,31,1448
455,No,3,Downtown,32,1504
1689,Yes,2,Downtown,13,2746
1589,Yes,2,Old Town,27,2160
1054,Yes,2,Uptown,30,1750
653,Yes,2,Downtown,15,1580
1318,,4,Uptown,4,2486
1021,No,2,Uptown,30,1661
1221,No,3,Old Town,7,2091
1232,Yes,3,Downtown,4,2730
340,Yes,2,Suburb,22,1379
945,No,3,Downtown,13,2186
993,No,3,Downtown,30,1971
1161,Yes,3,Downtown,7,2314
,No,4,Downtown,14,2652
461,Yes,2,Suburb,17,1432
921,No,2,Uptown,29,1388
1080,No,3,Uptown,11,2173
1090,Yes,2,Suburb,16,1965
1670,Yes,3,Suburb,0,2990
,Yes,5,Downtown,18,3114
2449,Yes,4,Downtown,0,3973
718,No,2,Uptown,30,1380
1613,No,3,Old Town,19,2171
1353,No,1,Uptown,33,1534
,Yes,3,Old Town,13,1787
1358,No,2,Uptown,19,2078
1731,No,3,Downtown,6,2890
1070,No,2,Old Town,17,1939
1664,No,2,Downtown,20,2579
1335,No,3,Uptown,16,2143
1236,Yes,4,Uptown,25,2341
2265,Yes,5,Uptown,9,3886
796,Yes,4,Downtown,36,2110
1516,No,3,Uptown,21,2619
1701,Yes,3,Downtown,6,2942
1407,No,2,Old Town,18,1827
1076,No,2,Uptown,13,1936
1312,Yes,3,Old Town,23,2168
588,No,1,Suburb,3,1126
810,Yes,3,Downtown,17,2133
1587,Yes,2,Downtown,35,2593
949,Yes,2,Suburb,21,1717
712,No,1,Suburb,1,1433
1372,Yes,3,Uptown,20,2355
982,No,2,Old Town,16,1543
1427,Yes,3,Uptown,25,2295
2050,Yes,3,Downtown,22,3001
1149,Yes,2,Downtown,21,2075
1008,No,,Suburb,14,1898
733,No,2,Downtown,1,1721
845,No,3,Uptown,20,1823
1016,No,1,Old Town,8,1588
532,No,2,Suburb,26,1227
1637,Yes,2,Suburb,,2300
1063,No,3,Uptown,43,1705
1449,No,3,Uptown,8,2601
1388,No,3,Old Town,20,1784
1421,,4,Downtown,0,2915
1097,Yes,3,Suburb,35,2003
1594,No,1,Suburb,10,2045
1640,Yes,3,Suburb,21,2471
1311,Yes,2,Downtown,23,2168
,No,3,Uptown,25,1698
1770,Yes,1,Downtown,23,2602
949,No,2,Suburb,17,1450
1649,Yes,3,Downtown,26,2820
1407,Yes,2,Downtown,,2400
797,Yes,4,Downtown,3,2621
1367,No,4,Downtown,10,2725
982,No,2,Downtown,28,1782
964,No,3,Old Town,25,1533
1818,Yes,3,,3,3046
650,Yes,2,Downtown,14,1864
1249,Yes,2,Suburb,8,2058
1640,No,3,Suburb,17,2407
1242,No,4,Old Town,,2167
818,No,4,Uptown,19,2083
1461,No,1,Downtown,27,1729
976,Yes,4,Uptown,18,2308
1049,No,4,Suburb,13,2125
279,No,1,Suburb,24,647
1647,Yes,3,Suburb,,2405
1490,Yes,3,Old Town,11,2144
1503,Yes,4,Uptown,10,2701
786,Yes,,Downtown,17,2351
700,No,3,Downtown,11,1964
1421,No,3,Downtown,8,2509
1286,Yes,3,Uptown,25,2329
2069,No,1,Suburb,32,2085
1486,Yes,1,Old Town,34,1751
801,No,3,Downtown,17,2164
767,Yes,3,Old Town,22,1277
1328,No,3,Downtown,13,2661
1507,,2,Downtown,17,2596
1708,No,2,,10,2478
1373,Yes,2,Old Town,27,1695
919,Yes,2,Old Town,16,1302
1006,Yes,4,Suburb,26,2130
654,No,3,Downtown,25,2044
1746,Yes,3,Suburb,21,2560
1226,No,4,Suburb,21,2301
250,No,2,Downtown,10,1315
1463,Yes,1,Suburb,9,1973
1183,No,2,Uptown,0,2072
963,No,3,Uptown,11,1999
1315,No,2,Suburb,10,1938
1310,Yes,1,Downtown,25,2032
1514,No,2,,26,2203
1387,No,3,Suburb,17,2317
1345,No,3,Old Town,22,1961
1023,Yes,4,Downtown,9,2836
1629,Yes,4,Old Town,15,2471
291,No,3,Old Town,4,1274
2646,Yes,4,Suburb,16,3029
690,Yes,3,Uptown,16,1788
1092,Yes,3,Suburb,7,2364
1454,No,3,Downtown,24,2494
1040,Yes,2,Suburb,,1644
1101,Yes,1,Suburb,0,1841
1570,No,3,Uptown,10,2672
628,No,1,Suburb,23,1073
1538,Yes,3,Suburb,3,2765
1108,,1,Suburb,19,1462
1812,No,1,Downtown,10,2363
840,Yes,3,Uptown,11,1915
1444,Yes,2,Uptown,10,2290
1401,No,1,Downtown,13,2046
380,Yes,2,Suburb,12,1278
1336,,3,Downtown,25,2357
1484,Yes,3,Downtown,,2539
968,Yes,2,Downtown,25,2157
1801,,2,Downtown,18,2750
630,Yes,2,Downtown,16,1699
665,Yes,1,Suburb,19,1075
926,No,1,Old Town,22,1005
823,Yes,2,Uptown,18,1791
1345,,3,Downtown,17,2603
1535,No,2,Suburb,27,2044
651,No,3,Old Town,18,1375
,Yes,4,Old Town,20,1720
1047,No,1,Downtown,27,1568
1388,Yes,3,Suburb,35,2051
650,Yes,1,,11,1309
607,No,5,Uptown,16,1976
,No,2,,26,1977
1311,Yes,4,Downtown,22,2897
1576,Yes,3,Old Town,16,2289
2305,No,2,Downtown,39,2604
914,Yes,1,Downtown,26,1536
848,No,3,Suburb,13,1715
1404,Yes,3,Downtown,11,2611
1273,,3,Suburb,20,1882
1663,No,2,Suburb,21,2039
1022,No,3,Suburb,16,1639
826,No,3,Suburb,18,1667
1550,Yes,3,Old Town,21,2376
1232,Yes,2,Suburb,17,2115
1678,No,1,Suburb,18,1824
1222,No,2,Uptown,9,2141
1266,Yes,2,Uptown,29,2025
464,Yes,3,Downtown,10,1715
856,,3,Suburb,31,1599
1575,Yes,3,Suburb,29,2570
2152,No,2,Suburb,,2518
1861,Yes,2,Downtown,31,2567
1984,No,3,Uptown,21,2963
1125,No,1,Suburb,12,1767
1409,No,2,Downtown,23,2271
1354,Yes,3,,13,2703
975,No,1,Uptown,15,1587
1218,No,3,Suburb,15,1762
1314,Yes,3,Uptown,22,2288
819,No,3,Uptown,20,1720
1393,,2,Downtown,28,1992
1426,No,1,Suburb,32,1715
831,Yes,1,Old Town,22,1227
816,Yes,4,,28,1980
1184,No,3,Downtown,19,2375
1285,No,2,Suburb,13,1749
926,No,1,,18,1392
1834,No,1,Uptown,21,2303
2445,Yes,3,Old Town,32,2724
2778,Yes,2,Uptown,11,3451
1020,Yes,,Suburb,17,1537
983,No,1,Downtown,20,1652
843,No,2,Downtown,25,1461
1604,No,3,,16,2773
820,No,2,Suburb,14,1337
1469,No,2,Downtown,10,2490
1462,No,3,Suburb,13,2522
1730,Yes,3,Downtown,37,2830
1610,No,3,Downtown,17,2884
1366,Yes,4,Uptown,32,2584
1065,No,3,Suburb,21,1845
1596,No,2,Suburb,14,1874
,Yes,4,Uptown,31,3004
1308,Yes,3,Suburb,27,2225
1343,No,2,Downtown,18,2154
588,Yes,,Downtown,8,1843
,Yes,1,Suburb,21,1198
900,Yes,3,Suburb,29,1850
978,Yes,1,Downtown,28,1603
1966,No,2,Old Town,20,2260
1017,Yes,2,Old Town,27,1569
1307,Yes,1,Downtown,13,2235
1173,No,2,Suburb,25,1856
1481,No,2,Downtown,21,2179
975,Yes,2,Downtown,19,2245
549,No,4,Old Town,38,1160
,No,1,Downtown,21,2471
1359,No,3,Suburb,4,2432
1644,No,5,Uptown,26,2981
1707,Yes,3,Downtown,42,2639
847,No,1,Uptown,9,1297
,No,3,Uptown,,2406
868,Yes,2,Uptown,18,1896
,No,4,Suburb,23,1187
956,Yes,1,Suburb,14,1535
876,Yes,2,Suburb,21,1660
1545,No,2,Uptown,7,2489
1102,Yes,2,Uptown,28,1751
1497,Yes,2,Uptown,16,2330
1487,No,2,Downtown,37,2325
671,Yes,,Downtown,29,1829
726,No,2,Downtown,14,1890
1399,No,3,Uptown,28,2302
624,No,4,Downtown,29,1909
860,Yes,,Downtown,9,1910
1698,Yes,1,Suburb,11,2184
1133,Yes,2,,14,2272
305,Yes,1,Downtown,0,1308
563,Yes,4,Uptown,21,1753
1746,Yes,2,Downtown,29,2595
1496,Yes,3,Suburb,22,2281
960,Yes,3,Downtown,25,2120
1301,No,4,Uptown,21,2381
1613,No,3,Suburb,22,2527
789,Yes,1,Downtown,0,1890
1412,Yes,2,Uptown,25,2220
812,No,2,Downtown,20,1765
,Yes,4,Suburb,18,2404
,Yes,1,Suburb,12,2050
1743,No,2,Old Town,10,2387
1110,No,3,Suburb,18,1737
1532,Yes,,Uptown,21,2492
1417,Yes,4,Downtown,10,2827
951,Yes,2,Downtown,29,1874
618,No,2,Suburb,12,1505
1781,No,3,Downtown,19,2880
1190,Yes,2,Old Town,25,1707
1097,No,3,Suburb,10,1893
1438,No,4,Downtown,0,2913
2156,No,2,Suburb,,2779
269,No,1,Suburb,19,850
2056,No,4,Uptown,27,3050
1144,No,4,Old Town,16,2305
1247,Yes,1,Uptown,21,1636
761,No,2,Suburb,32,1429
490,No,3,Uptown,11,1442
1408,No,2,Uptown,22,2093
1044,No,,Downtown,29,1912
933,Yes,,Old Town,11,1757
807,No,2,Old Town,12,1531
376,No,3,Uptown,20,1404
1135,Yes,4,Downtown,8,2864
1259,Yes,2,Suburb,7,1866
1516,Yes,2,Uptown,14,2183
1303,Yes,3,,10,2476
1217,,3,Downtown,14,2587
709,Yes,1,Downtown,18,1790
1616,No,2,Downtown,31,2367
1040,Yes,2,,23,1804
1289,No,2,Downtown,20,2088
872,No,1,Uptown,6,1743
1594,No,4,Uptown,2,2781
1747,Yes,2,Uptown,14,2543
,Yes,3,Suburb,24,1700
1923,No,2,Old Town,34,2354
1649,Yes,3,Old Town,20,2222
2125,No,,,32,2878
1810,Yes,2,Downtown,10,2820
1214,Yes,3,Uptown,20,2234
654,Yes,1,Downtown,5,1378
1403,Yes,1,Downtown,13,2384
485,Yes,3,Uptown,29,1549
1665,No,,Uptown,13,2498
1320,No,1,Downtown,,2161
963,No,2,Downtown,9,1985
1107,No,3,Downtown,26,2326
1810,Yes,5,Uptown,24,3102
1398,No,1,Downtown,18,2205
1192,,1,Uptown,18,1491
1045,No,4,Downtown,5,2664
1286,No,2,Downtown,11,2260
1579,No,3,Downtown,25,2894
1443,Yes,3,Suburb,19,2300
752,No,3,Downtown,19,1980
1444,Yes,2,Downtown,24,2079
805,Yes,3,Old Town,14,1406
1236,No,,Suburb,32,1774
326,Yes,3,Downtown,5,1939
1066,No,4,Uptown,25,2214
941,Yes,2,Uptown,24,1917
